case_id,total,blocked,rule_block,ml_block,prompt_block,file_block,blocking_rate_pct
DOS-1,1,0,0,0,0,0,0.0
DOS-2,1,1,1,0,0,1,100.0
DOS-3,1,1,1,0,0,1,100.0
EXFIL-1.1,1,1,0,1,1,0,100.0
EXFIL-1.2,1,1,0,1,0,1,100.0
EXFIL-2.1,1,1,0,1,1,0,100.0
PE-01,1,1,0,1,0,1,100.0
PE-02,1,0,0,0,0,0,0.0
PE-03,1,1,0,1,0,1,100.0
PE-04,1,1,0,1,0,1,100.0
PE-05,1,1,0,1,0,1,100.0
PE-06,1,1,0,1,0,1,100.0
PE-07,1,0,0,0,0,0,0.0
PE-08,1,0,0,0,0,0,0.0
PE-09,1,1,0,1,1,0,100.0
PE-10,1,1,0,1,1,0,100.0
PE-11,1,1,0,1,0,1,100.0
PE-12,1,1,0,1,1,0,100.0
PE-13,1,0,0,0,0,0,0.0
PE-14,1,1,0,1,1,0,100.0
PE-15,1,0,0,0,0,0,0.0
PE-16,1,1,1,0,0,1,100.0
PE-4.1,1,1,0,1,1,0,100.0
